Data Source in SDW: null
,SPF.A.U2.ASSU.IR.P33M.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - Target period ends 33 months after survey cycle begins - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2025,3.01,Forecast value (F)
2024,0.99,Forecast value (F)
2023,0.04,Forecast value (F)
2022,-0.04,Forecast value (F)
2021,0.37,Forecast value (F)
2020,0.66,Forecast value (F)
2019,0.31,Forecast value (F)
2018,0.21,Forecast value (F)
2017,0.35,Forecast value (F)
2016,0.69,Forecast value (F)
2015,1.14,Forecast value (F)
